Geneid	gene_symbol	Chr	Start	End	Strand	Length	logFC	P.Value	FDR
ENSG00000167552.15	TUBA1A	chr12	49188889	49188899	-	11	1.632120418	2.52E-07	0.000338937035
ENSG00000101096.20	NFATC2	chr20	51562560	51562629	-	70	1.18872273	3.79E-07	0.0004618049841
ENSG00000137312.15	FLOT1	chr6	30741868	30742146	-	279	-0.6046540295	1.15E-07	0.00017693508
ENSG00000083845.9	RPS5	chr19	58387032	58387263	+	232	1.118013527	1.85E-07	0.0002608996013
ENSG00000164402.14	SEPTIN8	chr5	132777345	132777375	-	31	2.318235429	2.59E-06	0.002044854353
ENSG00000124228.15	DDX27	chr20	49224775	49224944	+	170	1.666974252	8.05E-05	0.03024833512
ENSG00000169230.10	PRELID1	chr5	177303815	177303820	+	6	1.87348459	2.94E-07	0.0003755281813
ENSG00000103365.15	GGA2	chr16	23510465	23510487	-	23	1.292730096	8.63E-08	0.000137702609
ENSG00000110697.13	PITPNM1	chr11	67505188	67505314	-	127	0.8135226816	9.51E-08	0.0001496625182
ENSG00000164953.17	TMEM67	chr8	93758577	93759480	+	904	1.069478554	7.70E-08	0.0001250858887
ENSG00000143801.18	PSEN2	chr1	226870767	226870862	+	96	1.380524841	4.63E-07	0.0005391434826
ENSG00000109762.17	SNX25	chr4	185209598	185210129	+	532	0.8331993869	7.21E-07	0.0007636546607
ENSG00000066044.15	ELAVL1	chr19	8005495	8005641	-	147	1.192473258	6.06E-07	0.0006598026752
ENSG00000163939.19	PBRM1	chr3	52685851	52685882	-	32	0.9218731622	8.53E-08	0.00013669042
ENSG00000065883.18	CDK13	chr7	39951018	39951301	+	284	0.7403399951	1.11E-07	0.0001709173642
ENSG00000136770.11	DNAJC1	chr10	22003400	22003585	-	186	0.9226633329	4.19E-07	0.0004936071386
ENSG00000162408.11	NOL9	chr1	6554107	6554500	-	394	0.6058719391	4.70E-07	0.0005441300868
ENSG00000157168.21	NRG1	chr8	32548619	32548634	+	16	0.8513639664	1.07E-07	0.000166353009
ENSG00000104824.18	HNRNPL	chr19	38849871	38849940	-	70	0.5734126916	1.41E-07	0.0002064488494
ENSG00000164442.10	CITED2	chr6	139374132	139374213	-	82	0.5950989313	1.49E-06	0.001320450209
ENSG00000179051.14	RCC2	chr1	17438230	17438522	-	293	0.4398816032	3.62E-07	0.0004493028764
ENSG00000143643.13	TTC13	chr1	230978797	230978835	-	39	0.9952104714	5.38E-07	0.0006072812628
ENSG00000141759.15	TXNL4A	chr18	79988542	79988563	-	22	1.748929583	3.84E-07	0.0004647444689
ENSG00000135631.17	RAB11FIP5	chr2	73112347	73112948	-	602	0.4404627811	6.88E-07	0.0007346067241
ENSG00000180182.11	MED14	chrX	40735299	40735542	-	244	0.8236178869	1.50E-07	0.000215402196
ENSG00000188895.12	MSL1	chr17	40122761	40123096	+	336	0.5476158589	2.14E-07	0.0002961044209
ENSG00000106771.13	TMEM245	chr9	109119335	109119947	-	613	0.3800604923	8.60E-07	0.0008716709042
ENSG00000134531.10	EMP1	chr12	13199178	13199533	+	356	0.5229326888	2.93E-07	0.0003755281813
ENSG00000126214.22	KLC1	chr14	103629211	103629226	+	16	1.108209524	1.22E-07	0.0001848109342
ENSG00000198055.11	GRK6	chr5	177426745	177426793	+	49	1.533875558	2.72E-06	0.002118943765
ENSG00000035681.9	NSMAF	chr8	58659699	58659780	-	82	0.9675351212	1.74E-06	0.001494535518
ENSG00000101160.15	CTSZ	chr20	59007112	59007210	-	99	0.7291182505	1.18E-07	0.000181393218
ENSG00000121644.19	DESI2	chr1	244653103	244653125	+	23	1.089365685	9.33E-07	0.0009334766881
ENSG00000139880.21	CDH24	chr14	23057521	23057538	-	18	1.705793453	8.05E-07	0.000834372811
ENSG00000065559.15	MAP2K4	chr17	12020887	12020975	+	89	0.9761998622	2.68E-07	0.0003561396271
ENSG00000132334.17	PTPRE	chr10	127907103	127907151	+	49	1.025251527	1.93E-07	0.0002707739019
ENSG00000156804.7	FBXO32	chr8	123541191	123541206	-	16	0.9373500387	0.0001206217069	0.04133116267
ENSG00000135046.14	ANXA1	chr9	73154341	73154342	+	2	0.656401534	7.71E-06	0.004996188225
ENSG00000104960.15	PTOV1	chr19	49851225	49851386	+	162	0.9067181284	1.39E-07	0.0002048390853
ENSG00000136560.14	TANK	chr2	161235649	161236166	+	518	0.6761771888	1.32E-06	0.001214328282
ENSG00000164151.12	ICE1	chr5	5422742	5422999	+	258	0.6742450309	3.90E-07	0.0004693190166
ENSG00000095564.15	BTAF1	chr10	91923770	91924090	+	321	0.4547014413	1.66E-06	0.001438277395
ENSG00000183955.14	KMT5A	chr12	123389433	123389482	+	50	0.8908413446	4.86E-07	0.0005605110609
ENSG00000179632.10	MAF1	chr8	144104512	144104858	+	347	0.5116203958	5.30E-07	0.0006011181516
ENSG00000022840.17	RNF10	chr12	120534588	120534657	+	70	0.8265704971	1.33E-07	0.0002002627131
ENSG00000157601.15	MX1	chr21	41468237	41470071	+	1835	-0.8573457646	8.32E-07	0.0008533089405
ENSG00000178202.14	POGLUT3	chr11	108498367	108498384	-	18	1.163342309	5.39E-07	0.0006072812628
ENSG00000164654.16	MIOS	chr7	7566884	7566960	+	77	2.529552706	3.42E-07	0.0004327335896
ENSG00000183207.14	RUVBL2	chr19	48994780	48994933	+	154	-0.9689939076	8.03E-07	0.000834372811
ENSG00000124181.15	PLCG1	chr20	41137543	41137549	+	7	0.9676769098	2.09E-06	0.001750405244
ENSG00000164818.16	DNAAF5	chr7	726699	727218	+	520	0.6168962209	8.60E-07	0.0008716709042
ENSG00000136244.12	IL6	chr7	22729661	22729803	+	143	0.5326634327	4.44E-07	0.0005220352562
ENSG00000166483.12	WEE1	chr11	9577896	9581226	+	3331	0.5176309184	3.21E-07	0.0004066803824
ENSG00000121900.19	TMEM54	chr1	32901353	32901389	-	37	1.224785458	8.39E-07	0.0008573232739
ENSG00000183386.10	FHL3	chr1	38005357	38005438	-	82	1.115447896	0.0001183415431	0.04074785938
ENSG00000174915.12	PTDSS2	chr11	450420	450450	+	31	1.06329996	2.68E-07	0.0003561396271
ENSG00000105325.15	FZR1	chr19	3506363	3506376	+	14	1.163242749	3.71E-07	0.0004546886327
ENSG00000160710.18	ADAR	chr1	154589757	154589928	-	172	0.4137856627	5.71E-07	0.0006329538291
ENSG00000106263.19	EIF3B	chr7	2355117	2355233	+	117	0.7401907243	2.69E-07	0.0003561396271
ENSG00000165629.20	ATP5F1C	chr10	7801513	7801569	+	57	1.705590401	5.48E-07	0.0006112372684
ENSG00000257524.6	ST6GALNAC6	chr9	127899582	127899591	-	10	0.7204250557	3.54E-07	0.000443759312
ENSG00000087460.29	GNAS	chr20	58891421	58891690	+	270	0.6635272368	1.77E-07	0.0002511502479
ENSG00000123143.13	PKN1	chr19	14433323	14433418	+	96	2.87648733	2.18E-07	0.0002994095989
ENSG00000106609.16	TMEM248	chr7	66921262	66921461	+	200	0.4948601767	1.35E-06	0.001230107082
ENSG00000115963.14	RND3	chr2	150486782	150486866	-	85	0.6180015679	6.77E-07	0.0007259428649
ENSG00000088766.12	CRLS1	chr20	6006123	6006552	+	430	0.6298225514	7.52E-07	0.0007887281014
ENSG00000138326.21	RPS24	chr10	78035721	78035837	+	117	-0.830134057	2.92E-07	0.0003755281813
ENSG00000112335.15	SNX3	chr6	108261041	108261244	-	204	1.215772595	2.13E-06	0.001763973833
ENSG00000162772.17	ATF3	chr1	212608761	212608914	+	154	0.5879436133	4.71E-07	0.0005441300868
ENSG00000125779.24	PANK2	chr20	3889389	3889669	+	281	0.5732273683	4.15E-07	0.0004929494397
ENSG00000196155.13	PLEKHG4	chr16	67279532	67279552	+	21	1.795550718	2.17E-07	0.0002990200537
ENSG00000111640.15	GAPDH	chr12	6535302	6535469	+	168	0.6009974403	3.45E-07	0.0004342211717
ENSG00000132463.15	GRSF1	chr4	70839504	70839890	-	387	0.5353873664	6.01E-07	0.0006596462019
ENSG00000099331.14	MYO9B	chr19	17075786	17075874	+	89	0.7747195556	2.79E-06	0.002155606632
ENSG00000091527.17	CDV3	chr3	133573686	133573975	+	290	0.5273481809	4.55E-07	0.0005314536446
ENSG00000146648.21	EGFR	chr7	55019034	55019087	+	54	1.766121717	2.78E-07	0.0003637317637
ENSG00000130175.10	PRKCSH	chr19	11435401	11435443	+	43	-0.6490060268	2.06E-07	0.0002859844413
ENSG00000166454.10	ATMIN	chr16	81035842	81036057	+	216	0.854600823	1.42E-06	0.001271143403
ENSG00000060138.13	YBX3	chr12	10722912	10723307	-	396	0.5733056439	2.49E-07	0.0003361686916
ENSG00000185122.11	HSF1	chr8	144291604	144291604	+	1	1.599541492	2.76E-07	0.0003637317637
ENSG00000170345.10	FOS	chr14	75280193	75280374	+	182	0.4597758539	5.89E-07	0.0006486856528
ENSG00000147799.12	ARHGAP39	chr8	144685686	144685846	-	161	1.102279196	7.25E-06	0.004734259201
ENSG00000134463.15	ECHDC3	chr10	11742446	11742746	+	301	0.5641478604	1.55E-06	0.001361124278
ENSG00000129292.21	PHF20L1	chr8	132775400	132775407	+	8	1.487166679	2.79E-07	0.0003640961945
ENSG00000132361.18	CLUH	chr17	2711562	2711633	-	72	0.6669045649	2.84E-07	0.0003668048857
ENSG00000160209.19	PDXK	chr21	43719177	43719222	+	46	0.826759743	3.99E-07	0.0004786014738
ENSG00000124181.15	PLCG1	chr20	41137521	41137542	+	22	0.9489267696	3.27E-06	0.002450927887
ENSG00000100997.20	ABHD12	chr20	25390513	25390753	-	241	0.4903678957	3.59E-07	0.0004487250308
ENSG00000004487.18	KDM1A	chr1	23019468	23019947	+	480	0.3863464494	7.31E-07	0.0007720021484
ENSG00000137409.21	MTCH1	chr6	36986174	36986192	-	19	1.456387971	5.62E-06	0.003845435851
ENSG00000101290.14	CDS2	chr20	5126927	5127007	+	81	0.6853803656	2.37E-05	0.01211482648
ENSG00000158406.6	H4C8	chr6	26277609	26278477	-	869	-0.6777991321	4.78E-06	0.003386221075
ENSG00000142279.13	WTIP	chr19	34481758	34482527	+	770	0.8203982987	2.20E-06	0.001813176547
ENSG00000124208.16	PEDS1-UBE2V1	chr20	50153517	50153637	-	121	0.4091249863	8.65E-05	0.03216822622
ENSG00000138760.11	SCARB2	chr4	76213687	76213772	-	86	1.015169285	2.80E-07	0.0003640961945
ENSG00000148341.18	SH3GLB2	chr9	129028215	129028279	-	65	1.699757451	3.08E-06	0.002336770048
ENSG00000278535.5	DHRS11	chr17	36591915	36591988	+	74	1.05888198	6.04E-07	0.0006598026752
ENSG00000104824.18	HNRNPL	chr19	38849700	38849870	-	171	0.4785976261	4.17E-07	0.0004935589317
ENSG00000162073.14	PAQR4	chr16	2969444	2969557	+	114	1.156155461	2.13E-05	0.01113671002
ENSG00000105983.23	LMBR1	chr7	156892988	156893157	-	170	0.5734276048	1.88E-06	0.001587599172
ENSG00000291237.1	SOD2	chr6	159727129	159727265	-	137	0.4782619244	5.54E-06	0.003798192327
ENSG00000164953.17	TMEM67	chr8	93755909	93757130	+	1222	1.101278695	3.08E-07	0.0003920605697
ENSG00000077782.23	FGFR1	chr8	38468133	38468150	-	18	0.8218640219	2.42E-07	0.0003294574687
ENSG00000120913.24	PDLIM2	chr8	22579210	22579224	+	15	1.444886718	1.05E-06	0.00101346732
ENSG00000203668.3	CHML	chr1	241640255	241640369	-	115	1.141815931	3.53E-06	0.002622942667
ENSG00000077782.23	FGFR1	chr8	38468153	38468165	-	13	0.822276944	2.61E-07	0.0003502637037
ENSG00000139318.8	DUSP6	chr12	89351497	89351582	-	86	0.5978907018	1.23E-05	0.007301241251
ENSG00000157557.13	ETS2	chr21	38805951	38805970	+	20	1.117380875	8.28E-07	0.0008533089405
ENSG00000206573.11	THUMPD3-AS1	chr3	9396635	9396654	-	20	1.419882966	1.60E-06	0.001403137822
ENSG00000141526.18	SLC16A3	chr17	82229042	82229044	+	3	2.592920188	5.15E-07	0.0005855618595
ENSG00000214706.12	IFRD2	chr3	50292390	50292420	-	31	0.6305598654	4.12E-07	0.0004926120357
ENSG00000185483.13	ROR1	chr1	63774022	63774508	+	487	0.4833256912	1.83E-06	0.001554804928
ENSG00000182827.9	ACBD3	chr1	226186390	226186741	-	352	0.419848307	7.70E-06	0.004996188225
ENSG00000165458.15	INPPL1	chr11	72224780	72225037	+	258	0.5411894513	3.85E-07	0.0004647444689
ENSG00000184216.15	IRAK1	chrX	154019677	154019800	-	124	0.5252532908	5.05E-07	0.0005765005252
ENSG00000074410.14	CA12	chr15	63381836	63381846	-	11	1.173303551	1.43E-06	0.001277031472
ENSG00000157827.20	FMNL2	chr2	152335174	152335449	+	276	0.561194198	7.34E-07	0.0007724299766
ENSG00000157510.14	AFAP1L1	chr5	149271871	149271894	+	24	1.346388711	1.36E-06	0.001233950832
ENSG00000168758.11	SEMA4C	chr2	96859736	96859741	-	6	1.739377674	7.03E-05	0.02734654839
ENSG00000079805.19	DNM2	chr19	10718079	10718092	+	14	1.224360597	3.84E-07	0.0004647444689
ENSG00000132361.18	CLUH	chr17	2711718	2711764	-	47	0.9177320765	4.50E-07	0.0005272427358
ENSG00000092098.18	RNF31	chr14	24147516	24147566	+	51	1.059821797	5.41E-07	0.000607413799
ENSG00000117385.16	P3H1	chr1	42766507	42766989	-	483	0.3226796947	1.31E-05	0.007689541892
ENSG00000065559.15	MAP2K4	chr17	12020877	12020886	+	10	1.495566753	8.09E-07	0.0008362679988
ENSG00000110080.20	ST3GAL4	chr11	126355686	126355687	+	2	2.014946749	5.50E-07	0.0006114648676
ENSG00000069998.12	HDHD5	chr22	17159169	17159255	-	87	0.8099952935	1.60E-05	0.009055304136
ENSG00000068001.14	HYAL2	chr3	50321366	50321567	-	202	0.5844247468	1.14E-06	0.001084461435
ENSG00000196182.11	STK40	chr1	36385880	36385884	-	5	1.61585	1.19E-06	0.001119444651
ENSG00000233016.9	SNHG7	chr9	136725234	136726310	-	1077	-0.5864631018	1.26E-06	0.001183120571
ENSG00000137309.21	HMGA1	chr6	34236920	34236963	+	44	0.5970451156	2.25E-06	0.001855048782
ENSG00000124181.15	PLCG1	chr20	41137550	41137731	+	182	0.5696335683	5.29E-06	0.003650535408
ENSG00000184007.22	PTP4A2	chr1	31938263	31938358	-	96	0.9140855022	5.87E-07	0.0006486856528
ENSG00000112511.18	PHF1	chr6	33411014	33411125	+	112	0.5438620906	7.11E-07	0.0007570067197
ENSG00000137309.21	HMGA1	chr6	34237204	34237317	+	114	0.5612614997	2.27E-06	0.001864023368
ENSG00000150938.10	CRIM1	chr2	36355778	36356442	+	665	0.3674279213	8.51E-07	0.0008673117048
ENSG00000072274.14	TFRC	chr3	196081089	196081528	-	440	0.6631913707	3.07E-05	0.01485216018
ENSG00000112078.14	KCTD20	chr6	36443000	36443006	+	7	1.217308972	9.40E-07	0.0009336857958
ENSG00000077782.23	FGFR1	chr8	38468151	38468152	-	2	0.8457940294	3.70E-07	0.0004546437691
ENSG00000167552.15	TUBA1A	chr12	49187085	49187404	-	320	1.199666494	1.34E-06	0.001229005296
ENSG00000125520.14	SLC2A4RG	chr20	63739776	63740038	+	263	2.083537742	1.06E-06	0.001015386532
ENSG00000133812.18	SBF2	chr11	10294070	10294082	-	13	1.196571938	4.15E-07	0.0004929494397
ENSG00000198825.15	INPP5F	chr10	119726110	119726138	+	29	1.545089117	6.19E-07	0.0006710143202
ENSG00000163291.14	PAQR3	chr4	78939360	78939394	-	35	1.729160325	8.73E-07	0.0008790282058
ENSG00000005007.14	UPF1	chr19	18832001	18832440	+	440	0.4543850663	6.23E-07	0.0006733580005
ENSG00000119408.17	NEK6	chr9	124257963	124258085	+	123	0.5638713431	1.05E-06	0.001014553998
ENSG00000012048.24	BRCA1	chr17	43044295	43044301	-	7	-1.596558503	1.78E-05	0.009801107189
ENSG00000073331.18	ALPK1	chr4	112285509	112285761	+	253	-0.4952372092	5.34E-06	0.003677424243
ENSG00000049860.14	HEXB	chr5	74685206	74685232	+	27	0.5827544529	8.90E-07	0.0008942195788
ENSG00000139842.15	CUL4A	chr13	113209616	113209629	+	14	1.373506754	8.71E-07	0.0008790282058
ENSG00000185022.12	MAFF	chr22	38214751	38214760	+	10	1.335746151	2.88E-06	0.002211659249
ENSG00000168994.14	PXDC1	chr6	3751533	3751713	-	181	0.7573210936	2.80E-06	0.002155802787
ENSG00000266953.6	ENSG00000266953	chr19	34400347	34400695	+	349	0.3582537494	4.83E-05	0.02073703122
ENSG00000130635.17	COL5A1	chr9	134641803	134642296	+	494	0.4054779467	4.92E-07	0.0005628510754
ENSG00000099804.9	CDC34	chr19	531760	531768	+	9	0.8451616315	6.33E-06	0.004251452212
ENSG00000170345.10	FOS	chr14	75279124	75279128	+	5	0.7257228633	1.30E-06	0.00121360838
ENSG00000118707.11	TGIF2	chr20	36573653	36573722	+	70	0.8449885429	6.11E-05	0.02473294723
ENSG00000165801.10	ARHGEF40	chr14	21070317	21070367	+	51	1.166475458	9.92E-07	0.0009675892342
ENSG00000104951.16	IL4I1	chr19	49894274	49894469	-	196	-1.666517833	1.96E-05	0.01050845309
ENSG00000166900.17	STX3	chr11	59755376	59755397	+	22	2.266427996	1.28E-06	0.001197959646
ENSG00000198742.10	SMURF1	chr7	99143726	99144019	-	294	0.446169288	8.16E-06	0.005262451265
ENSG00000184007.22	PTP4A2	chr1	31938187	31938262	-	76	0.8821593172	7.78E-07	0.0008112991423
ENSG00000163939.19	PBRM1	chr3	52685837	52685850	-	14	0.822614834	6.06E-07	0.0006598026752
ENSG00000167552.15	TUBA1A	chr12	49188417	49188888	-	472	0.8704361203	1.64E-06	0.001431961417
ENSG00000101290.14	CDS2	chr20	5127008	5127008	+	1	0.6542251812	4.43E-05	0.01933180288
ENSG00000166483.12	WEE1	chr11	9574687	9575375	+	689	0.591169167	1.14E-06	0.001084157036
ENSG00000112062.12	MAPK14	chr6	36027885	36028157	+	273	0.3920032416	1.18E-06	0.001117097364
ENSG00000196182.11	STK40	chr1	36385877	36385879	-	3	1.568336536	1.64E-06	0.001431961417
ENSG00000169230.10	PRELID1	chr5	177303811	177303814	+	4	1.891783155	1.80E-06	0.001530977512
ENSG00000169026.13	SLC49A3	chr4	689144	689151	-	8	1.546234765	1.34E-06	0.001230107082
ENSG00000188807.13	TMEM201	chr1	9588911	9588921	+	11	2.118947625	2.12E-06	0.001763973833
ENSG00000196182.11	STK40	chr1	36385885	36385888	-	4	1.873580509	1.71E-06	0.001475351149
ENSG00000028137.19	TNFRSF1B	chr1	12166991	12167002	+	12	1.870882152	2.75E-06	0.002128241591
ENSG00000029153.15	BMAL2	chr12	27332920	27333054	+	135	0.4487740764	0.0001288025564	0.04304666896
ENSG00000185800.12	DMWD	chr19	45792774	45792802	-	29	1.674498346	1.94E-06	0.001631036959
ENSG00000148399.13	DPH7	chr9	137578891	137578908	-	18	1.393329648	1.37E-06	0.001241669946
ENSG00000171603.18	CLSTN1	chr1	9823670	9823965	-	296	0.7127079051	1.40E-06	0.001259195097
ENSG00000206573.11	THUMPD3-AS1	chr3	9396625	9396634	-	10	1.38770537	3.17E-06	0.002387383052
ENSG00000092098.18	RNF31	chr14	24147650	24147697	+	48	0.8672226813	9.68E-07	0.0009507987692
ENSG00000150093.20	ITGB1	chr10	32957866	32957894	-	29	1.113461632	6.36E-07	0.0006858635894
ENSG00000240849.11	PEDS1	chr20	50153641	50153723	-	83	0.8674948557	3.23E-06	0.002423961221
ENSG00000011566.15	MAP4K3	chr2	39437066	39437147	-	82	0.6599383207	2.10E-06	0.001755546871
ENSG00000158710.15	TAGLN2	chr1	159924494	159924551	-	58	0.5976369346	1.51E-05	0.008667145798
ENSG00000184007.22	PTP4A2	chr1	31938119	31938186	-	68	0.9413403415	9.35E-07	0.0009334766881
ENSG00000166033.13	HTRA1	chr10	122461553	122462124	+	572	0.426096518	4.65E-06	0.003312729114
ENSG00000106868.17	SUSD1	chr9	112175186	112175267	-	82	0.9305747001	1.26E-06	0.001181622052
ENSG00000075624.17	ACTB	chr7	5529806	5529949	-	144	0.9401013653	9.58E-07	0.0009430614483
ENSG00000083845.9	RPS5	chr19	58387269	58387274	+	6	1.097324166	1.51E-06	0.001329956652
ENSG00000110080.20	ST3GAL4	chr11	126355669	126355685	+	17	1.977929664	9.96E-07	0.0009675892342
ENSG00000159461.15	AMFR	chr16	56425073	56425545	-	473	0.3991489148	4.04E-05	0.01797286892
ENSG00000177565.19	TBL1XR1	chr3	177032318	177032340	-	23	-1.181540718	4.08E-06	0.002973127141
ENSG00000160710.18	ADAR	chr1	154600177	154600203	-	27	-1.785126128	2.70E-06	0.002110127926
ENSG00000008294.22	SPAG9	chr17	51120735	51120865	-	131	0.6333096403	2.67E-06	0.00210015331
ENSG00000185122.11	HSF1	chr8	144291591	144291603	+	13	1.542410218	9.54E-07	0.0009419006861
ENSG00000136108.15	CKAP2	chr13	52476350	52476627	+	278	1.162088566	2.40E-06	0.001928244616
ENSG00000125505.17	MBOAT7	chr19	54189361	54189443	-	83	0.5589915648	1.32E-06	0.001217727575
ENSG00000100124.15	ANKRD54	chr22	37844007	37844170	-	164	1.054957713	1.44E-06	0.001285110986
ENSG00000126777.18	KTN1	chr14	55580324	55580354	+	31	0.4322575357	7.20E-07	0.0007636546607
ENSG00000164877.19	MICALL2	chr7	1459366	1459470	-	105	0.9291406243	1.03E-06	0.0009949928271
ENSG00000134871.19	COL4A2	chr13	110307267	110307283	+	17	1.180698767	8.33E-07	0.0008533089405
ENSG00000110871.15	COQ5	chr12	120534308	120534434	-	127	0.5463447738	2.89E-06	0.002214286587
ENSG00000162734.13	PEA15	chr1	160205380	160205383	+	4	1.07657065	3.98E-06	0.002911839533
ENSG00000204623.11	POLR1HASP	chr6	30007524	30007642	-	119	0.8430419314	1.79E-06	0.001526254548
ENSG00000175166.17	PSMD2	chr3	184299241	184299250	+	10	0.6574947135	2.47E-06	0.001971039775
ENSG00000263001.8	GTF2I	chr7	74658031	74658068	+	38	0.5851186737	1.12E-06	0.001071823619
ENSG00000130734.10	ATG4D	chr19	10543971	10544282	+	312	0.5296656087	1.48E-06	0.001313837937
ENSG00000100241.22	SBF1	chr22	50474934	50474996	-	63	1.320407658	5.21E-06	0.003607564506
ENSG00000120254.16	MTHFD1L	chr6	150865716	150865943	+	228	0.7977760525	3.64E-05	0.01673684753
ENSG00000009335.18	UBE3C	chr7	157139195	157139211	+	17	0.9751144155	1.31E-06	0.001214328282
ENSG00000249673.9	NOP14-AS1	chr4	2935087	2935139	+	53	0.6573550272	2.09E-05	0.01098264087
ENSG00000064115.11	TM7SF3	chr12	27014309	27014347	-	39	1.037916381	1.35E-06	0.001230107082
ENSG00000169398.20	PTK2	chr8	141001267	141001282	-	16	1.922045429	7.72E-07	0.0008077791681
ENSG00000134278.16	SPIRE1	chr18	12657530	12658045	-	516	0.5559213677	3.50E-06	0.002609235505
ENSG00000114268.12	PFKFB4	chr3	48561760	48561972	-	213	-0.3651367388	0.0001201846267	0.04122145637
ENSG00000130640.15	TUBGCP2	chr10	133308978	133309134	-	157	0.4357352549	9.39E-07	0.0009336857958
ENSG00000121864.10	ZNF639	chr3	179323076	179323245	+	170	0.7036229399	2.09E-06	0.001750405244
ENSG00000127526.15	SLC35E1	chr19	16572210	16572304	-	95	0.8096359718	1.58E-05	0.009014385577
ENSG00000164088.18	PPM1M	chr3	52245759	52245885	+	127	1.498305063	5.80E-05	0.02391730197
ENSG00000008130.15	NADK	chr1	1778289	1778419	-	131	0.5925710682	1.31E-06	0.001214328282
ENSG00000075624.17	ACTB	chr7	5529950	5529982	-	33	1.566896024	1.37E-06	0.001237483041
ENSG00000057019.16	DCBLD2	chr3	98901172	98901326	-	155	0.4504560468	1.68E-06	0.001453405744
ENSG00000244255.5	ENSG00000244255	chr6	31943917	31943993	+	77	0.7063611907	2.67E-06	0.00210015331
ENSG00000108179.14	PPIF	chr10	79347500	79347657	+	158	0.5458493838	4.81E-06	0.003386470112
ENSG00000107929.16	LARP4B	chr10	931501	931624	-	124	0.7309138472	2.79E-06	0.002155606632
ENSG00000065559.15	MAP2K4	chr17	12020870	12020876	+	7	1.5098864	2.12E-06	0.001763973833
ENSG00000197415.12	VEPH1	chr3	157495212	157495506	-	295	0.9491342888	2.37E-06	0.001917588808
ENSG00000291237.1	SOD2	chr6	159727266	159727353	-	88	0.4277549008	1.76E-05	0.009702171774
ENSG00000072110.16	ACTN1	chr14	68979268	68979302	-	35	0.7977666989	1.09E-06	0.00104541257
ENSG00000130340.17	SNX9	chr6	157823246	157823389	+	144	0.9137639455	1.53E-06	0.001345054742
ENSG00000101160.15	CTSZ	chr20	59007211	59007230	-	20	0.749447905	1.27E-06	0.001184031896
ENSG00000167552.15	TUBA1A	chr12	49187405	49187869	-	465	1.153525692	3.10E-06	0.002336770048
ENSG00000184216.15	IRAK1	chrX	154019801	154019812	-	12	0.7336175721	1.67E-06	0.001443248083
ENSG00000196756.15	SNHG17	chr20	38427404	38427442	-	39	-0.4410549975	1.08E-06	0.001031073796
ENSG00000118515.12	SGK1	chr6	134170436	134170799	-	364	0.6389226095	1.41E-06	0.001266918956
ENSG00000268173.3	ENSG00000268173	chr19	18169087	18170494	+	1408	0.4101533393	2.73E-06	0.002118943765
ENSG00000071994.11	PDCD2	chr6	170584422	170584491	-	70	0.942255956	2.34E-06	0.001905297215
ENSG00000107262.26	BAG1	chr9	33264572	33264670	-	99	0.9577310446	2.44E-06	0.001955485817
ENSG00000176393.11	RNPEP	chr1	201982819	201982954	+	136	0.7032619507	2.51E-06	0.001993218835
ENSG00000198742.10	SMURF1	chr7	99144020	99144100	-	81	1.327256542	1.63E-05	0.009145140376
ENSG00000165895.19	ARHGAP42	chr11	100687288	100687652	+	365	0.5185517068	9.48E-06	0.005978917922
ENSG00000112078.14	KCTD20	chr6	36442767	36442999	+	233	1.12552287	2.49E-06	0.001989997217
ENSG00000133030.22	MPRIP	chr17	17042760	17042806	+	47	0.8556141179	1.38E-06	0.001244847392
ENSG00000141985.9	SH3GL1	chr19	4400419	4400525	-	107	0.6368097503	9.95E-06	0.006211859389
ENSG00000103365.15	GGA2	chr16	23510390	23510424	-	35	0.8183304464	1.58E-06	0.001388983735
ENSG00000100234.12	TIMP3	chr22	32801705	32802122	+	418	0.2771021656	0.0001458600972	0.04705262576
ENSG00000143207.21	COP1	chr1	176206729	176206978	-	250	0.5164030562	1.20E-05	0.007184746416
ENSG00000168884.15	TNIP2	chr4	2756332	2756336	-	5	1.679406885	4.52E-06	0.003232503097
ENSG00000089006.17	SNX5	chr20	17968512	17968699	-	188	0.5573958969	8.55E-06	0.005468598242
ENSG00000113273.17	ARSB	chr5	78985250	78985310	-	61	1.18983212	4.73E-06	0.003360026751
ENSG00000153551.14	CMTM7	chr3	32391853	32391888	+	36	1.171826781	4.78E-06	0.003386221075
ENSG00000122257.20	RBBP6	chr16	24539760	24540001	+	242	0.4777584627	6.85E-06	0.004516900475
ENSG00000197930.13	ERO1A	chr14	52695530	52695558	-	29	0.6768887899	2.37E-06	0.001917588808
ENSG00000072042.13	RDH11	chr14	67677364	67677392	-	29	-0.5100289494	2.72E-06	0.002118943765
ENSG00000038358.15	EDC4	chr16	67873052	67873343	+	292	0.4692334892	5.40E-05	0.02272294735
ENSG00000134339.9	SAA2	chr11	18242139	18242819	-	681	-0.7001067955	9.51E-06	0.005990345876
ENSG00000073756.13	PTGS2	chr1	186675397	186675869	-	473	1.417827152	2.83E-05	0.01394143421
ENSG00000156599.11	ZDHHC5	chr11	57667747	57668104	+	358	0.6313740693	5.06E-05	0.02151912796
ENSG00000115808.12	STRN	chr2	36966346	36966381	-	36	0.812172414	2.93E-05	0.01434545496
ENSG00000160710.18	ADAR	chr1	154606019	154606376	-	358	-1.662023309	5.79E-06	0.003944099683
