GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Tipo	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	riExonStart_0base	riExonEnd	exonStart_0base	exonEnd
ENSG00000156398.13	SFXN2	chr10	+	NA	NA	NA	NA	NA	NA	28776	8,13,22	0,1,4	11,16,9	0,0,0	125	39	0.01659853	0.1978431	1.0,0.802,0.632	1.0,1.0,1.0	-0.189	SE	NA	NA	NA	NA	102728430	102728529	102732858	102732908	NA	NA	NA	102729722	102729808
ENSG00000106086.20	PLEKHA8	chr7	+	NA	NA	NA	NA	NA	NA	60333	158,109,143	9,20,9	185,176,166	5,8,4	228	39	0.0057506	0.1739139	0.75,0.482,0.731	0.864,0.79,0.877	-0.189	SE	NA	NA	NA	NA	30062671	30062742	30117969	30118345	NA	NA	NA	30078589	30078778
ENSG00000144381.18	HSPD1	chr2	-	NA	NA	NA	NA	NA	NA	91623	3,0,7	15,6,9	9,10,12	9,5,11	144	39	0.003965654	0.1739139	0.051,0.0,0.174	0.213,0.351,0.228	-0.189	SE	NA	NA	NA	NA	197490526	197490664	197493323	197493492	NA	NA	NA	197490937	197491042
ENSG00000213096.11	ZNF254	chr19	+	NA	NA	NA	NA	NA	NA	121625	265,234,216	37,13,12	196,181,240	2,3,5	166	39	0.002343661	0.1739139	0.627,0.809,0.809	0.958,0.934,0.919	-0.189	SE	NA	NA	NA	NA	24087183	24087337	24106547	24106643	NA	NA	NA	24105939	24106066
ENSG00000166979.13	EVA1C	chr21	+	NA	NA	NA	NA	NA	NA	101803	37,30,32	0,4,2	40,69,73	0,0,0	163	39	0.007032351	0.1739139	1.0,0.642,0.793	1.0,1.0,1.0	-0.188	SE	NA	NA	NA	NA	32495026	32495170	32503925	32504015	NA	NA	NA	32501414	32501538
ENSG00000272752.6	STAG3L5P-PVRIG2P-PILRB	chr7	+	100353372	100354012	100353372	100353483	100355142	100355240	6567	1,138,987,996	10,18,18	88,810,021,053	21,31,28	568	39	0.004586902521	0.166650743	0.887,0.79,0.792	0.744,0.689,0.721	0.105	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161996.19	WDR90	chr16	+	NA	NA	NA	NA	NA	NA	1745	149,138,158	17,26,18	93,124,146	23,24,43	451	39	0.01092954549	0.1594335057	0.431,0.315,0.432	0.259,0.309,0.227	0.128	RI	NA	NA	NA	NA	655772	655889	656301	656537	NA	655772	656537	NA	NA
ENSG00000140463.14	BBS4	chr15	+	NA	NA	NA	NA	NA	NA	21311	57,60,50	7,3,3	78,124,57	1,0,1	151	39	0.01231996	0.1805793	0.678,0.838,0.811	0.953,1.0,0.936	-0.187	SE	NA	NA	NA	NA	72712243	72712307	72716777	72716850	NA	NA	NA	72715290	72715402
ENSG00000185842.16	DNAH14	chr1	+	NA	NA	NA	NA	NA	NA	46930	51,72,40	8,3,0	41,66,86	0,0,0	171	39	0.007193869	0.1739139	0.592,0.846,1.0	1.0,1.0,1.0	-0.187	SE	NA	NA	NA	NA	224968758	224968874	225023614	225023865	NA	NA	NA	225007412	225007544
ENSG00000114982.19	KANSL3	chr2	-	NA	NA	NA	NA	NA	NA	NA	5,8,4	0,0,0	4,2,4	1,0,1	116	60	0.003504271496	0.1984371989	1.0,1.0,1.0	0.674,1.0,0.674	0.217	MXE	96627921	96627942	96628571	96628648	96619671	96619762	96631311	96631484	15191	NA	NA	NA	NA
ENSG00000177082.13	WDR73	chr15	-	84654226	84654280	84654233	84654280	84653631	84653699	1827	76,56,69	158,122,111	29,57,57	110,173,187	46	39	0.002446110179	0.166650743	0.29,0.28,0.345	0.183,0.218,0.205	0.103	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000125347.15	IRF1	chr5	-	132486521	132486686	132486556	132486686	132484361	132484497	2609	15,20,20	0,0,0	30,23,25	2,3,0	74	39	0.006675725376	0.1672409906	1.0,1.0,1.0	0.888,0.802,1.0	0.103	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000115459.18	ELMOD3	chr2	+	NA	NA	NA	NA	NA	NA	78140	41,52,37	6,16,5	57,57,42	3,3,2	83	39	0.004952347	0.1739139	0.763,0.604,0.777	0.899,0.899,0.908	-0.187	SE	NA	NA	NA	NA	85355075	85355170	85356966	85357252	NA	NA	NA	85355554	85355598
ENSG00000172775.17	PSME3IP1	chr16	-	NA	NA	NA	NA	NA	NA	NA	49,44,44	16,18,29	27,26,27	21,31,42	182	201	0.003807962419	0.1984371989	0.772,0.73,0.626	0.587,0.481,0.415	0.215	MXE	57175538	57175700	57178709	57178852	57173772	57173869	57185820	57186039	3024	NA	NA	NA	NA
ENSG00000164733.22	CTSB	chr8	-	NA	NA	NA	NA	NA	NA	NA	37,8,13	16,11,6	18,9,22	30,21,25	173	219	0.006158658532	0.1984371989	0.745,0.479,0.733	0.432,0.352,0.527	0.215	MXE	11861299	11861479	11862344	11862478	11853328	11853479	11864375	11864463	11343	NA	NA	NA	NA
ENSG00000148985.20	PGAP2	chr11	+	NA	NA	NA	NA	NA	NA	83243	34,37,40	1,1,3	46,42,58	0,0,0	214	39	0.008162347	0.1739139	0.861,0.871,0.708	1.0,1.0,1.0	-0.187	SE	NA	NA	NA	NA	3808289	3808315	3824269	3824364	NA	NA	NA	3811249	3811424
ENSG00000103091.15	WDR59	chr16	-	NA	NA	NA	NA	NA	NA	17422	35,42,24	6,2,0	39,48,51	0,0,0	152	39	0.007241163	0.1739139	0.599,0.843,1.0	1.0,1.0,1.0	-0.186	SE	NA	NA	NA	NA	74886269	74886396	74892483	74892565	NA	NA	NA	74889702	74889815
ENSG00000171428.15	NAT1	chr8	+	NA	NA	NA	NA	NA	NA	107413	269,208,171	3,7,6	161,222,226	0,1,1	423	39	0.008881997	0.1740438	0.892,0.733,0.724	1.0,0.953,0.954	-0.186	SE	NA	NA	NA	NA	18211284	18211342	18219410	18219489	NA	NA	NA	18212390	18212774
ENSG00000110328.6	GALNT18	chr11	-	NA	NA	NA	NA	NA	NA	123011	8,4,32	0,0,9	28,30,15	0,0,0	176	39	0.01602305	0.1948624	1.0,1.0,0.441	1.0,1.0,1.0	-0.186	SE	NA	NA	NA	NA	11432620	11432787	11621358	11621758	NA	NA	NA	11476315	11476452
ENSG00000219626.9	FAM228B	chr2	+	NA	NA	NA	NA	NA	NA	81782	31,43,30	0,7,1	19,32,42	0,0,0	177	39	0.01369333	0.1847989	1.0,0.575,0.869	1.0,1.0,1.0	-0.185	SE	NA	NA	NA	NA	24146937	24147086	24167626	24167669	NA	NA	NA	24164197	24164335
ENSG00000228794.12	LINC01128	chr1	+	851926	852110	851926	852094	852670	852766	5473	33,34,26	0,0,0	29,30,58	5,2,1	55	39	0.0005344839511	0.09087364369	1.0,1.0,1.0	0.804,0.914,0.976	0.102	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137502.10	RAB30	chr11	-	NA	NA	NA	NA	NA	NA	96367	55,31,22	69,45,47	63,68,42	24,44,45	95	39	0.01469761	0.1890498	0.247,0.22,0.161	0.519,0.388,0.277	-0.185	SE	NA	NA	NA	NA	83034171	83034272	83071690	83071896	NA	NA	NA	83034726	83034782
ENSG00000166979.13	EVA1C	chr21	+	NA	NA	NA	NA	NA	NA	101798	22,21,20	28,14,13	18,35,43	5,15,14	163	39	0.004975108	0.1739139	0.158,0.264,0.269	0.463,0.358,0.424	-0.185	SE	NA	NA	NA	NA	32412436	32413013	32467695	32467848	NA	NA	NA	32457596	32457720
ENSG00000132589.16	FLOT2	chr17	-	NA	NA	NA	NA	NA	NA	112164	34,17,29	33,43,30	22,56,51	8,35,29	130	39	0.00286358	0.1739139	0.236,0.106,0.225	0.452,0.324,0.345	-0.185	SE	NA	NA	NA	NA	28883107	28883231	28888944	28889026	NA	NA	NA	28885856	28885947
ENSG00000178163.8	ZNF518B	chr4	-	NA	NA	NA	NA	NA	NA	3107	537,515,442	0,0,0	488,605,586	0,6,1	1821	39	0.008555904522	0.1524005325	1.0,1.0,1.0	1.0,0.683,0.926	0.13	RI	NA	NA	NA	NA	10450886	10453022	10454804	10454988	NA	10450886	10454988	NA	NA
ENSG00000138316.11	ADAMTS14	chr10	+	NA	NA	NA	NA	NA	NA	119546	57,55,56	0,7,2	41,74,62	0,0,0	203	39	0.009446882	0.1748953	1.0,0.602,0.843	1.0,1.0,1.0	-0.185	SE	NA	NA	NA	NA	70745225	70745306	70751477	70751646	NA	NA	NA	70749821	70749985
ENSG00000132740.10	IGHMBP2	chr11	+	NA	NA	NA	NA	NA	NA	126233	24,10,9	12,14,16	22,17,21	6,7,7	236	39	0.006076636	0.1739139	0.248,0.106,0.085	0.377,0.286,0.331	-0.185	SE	NA	NA	NA	NA	68930322	68930434	68933298	68933481	NA	NA	NA	68932926	68933123
ENSG00000166169.17	POLL	chr10	-	NA	NA	NA	NA	NA	NA	74543	186,184,159	9,6,3	138,181,206	1,0,1	334	39	0.008824847	0.1740438	0.707,0.782,0.861	0.942,1.0,0.96	-0.184	SE	NA	NA	NA	NA	101583507	101583681	101587245	101587382	NA	NA	NA	101585861	101586156
ENSG00000271147.8	ARMCX5-GPRASP2	chrX	+	NA	NA	NA	NA	NA	NA	107694	43,32,28	4,4,0	34,32,49	0,0,0	137	39	0.006543093	0.1739139	0.754,0.695,1.0	1.0,1.0,1.0	-0.184	SE	NA	NA	NA	NA	102600919	102601032	102605481	102605653	NA	NA	NA	102601879	102601977
ENSG00000100897.18	DCAF11	chr14	+	24114776	24115293	24114776	24114924	24115381	24115749	5328	326,243,225	0,2,0	168,253,280	2,4,4	408	39	0.006039107764	0.1672409906	1.0,0.921,1.0	0.889,0.858,0.87	0.101	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000131165.16	CHMP1A	chr16	-	NA	NA	NA	NA	NA	NA	1428	60,27,53	0,0,0	52,45,54	0,2,7	120	39	0.01594076845	0.1810807351	1.0,1.0,1.0	1.0,0.88,0.715	0.135	RI	NA	NA	NA	NA	89647034	89647121	89647202	89647331	NA	89647034	89647331	NA	NA
ENSG00000130158.14	DOCK6	chr19	-	NA	NA	NA	NA	NA	NA	2056	5,9,1	5,8,11	0,3,4	18,19,34	139	39	0.01386886125	0.1748170401	0.219,0.24,0.025	0.0,0.042,0.032	0.137	RI	NA	NA	NA	NA	11202393	11202483	11202583	11202715	NA	11202393	11202715	NA	NA
ENSG00000132199.20	ENOSF1	chr18	-	NA	NA	NA	NA	NA	NA	11964	31,22,19	4,0,2	10,22,42	0,0,0	126	39	0.01052822	0.1764133	0.706,1.0,0.746	1.0,1.0,1.0	-0.183	SE	NA	NA	NA	NA	690548	690631	706469	706578	NA	NA	NA	694247	694334
ENSG00000172638.13	EFEMP2	chr11	-	65869359	65869976	65869856	65869976	65868479	65868840	9954	96,117,137	0,0,0	132,172,140	0,1,3	536	39	0.005877804133	0.1672409906	1.0,1.0,1.0	1.0,0.926,0.772	0.101	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000196268.12	ZNF493	chr19	+	21397132	21397422	21397132	21397267	21405128	21405255	746	41,32,39	29,15,28	25,27,15	31,25,22	194	39	0.01442374296	0.1933894799	0.221,0.3,0.219	0.14,0.178,0.121	0.1	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000143889.16	HNRNPLL	chr2	-	NA	NA	NA	NA	NA	NA	5816	1,121,682,411	148,94,98	445,274,445	128,71,149	295	39	0.0009686425721	0.1064884215	0.5,0.49,0.357	0.315,0.338,0.283	0.137	RI	NA	NA	NA	NA	38602437	38602600	38602856	38603036	NA	38602437	38603036	NA	NA
ENSG00000112031.16	MTRF1L	chr6	-	NA	NA	NA	NA	NA	NA	97861	362,266,207	55,43,39	281,374,432	25,20,43	271	39	0.01090859	0.1773471	0.486,0.471,0.433	0.618,0.729,0.591	-0.183	SE	NA	NA	NA	NA	152987361	152990095	152992856	152992974	NA	NA	NA	152991184	152991416
ENSG00000196498.14	NCOR2	chr12	-	NA	NA	NA	NA	NA	NA	114041	61,47,63	10,1,2	47,89,66	0,0,0	142	39	0.006141605	0.1739139	0.626,0.928,0.896	1.0,1.0,1.0	-0.183	SE	NA	NA	NA	NA	124354477	124354582	124355431	124355571	NA	NA	NA	124354836	124354939
ENSG00000291201.1	ENSG00000291201	chr4	+	NA	NA	NA	NA	NA	NA	80079	115,125,97	6,1,4	154,146,119	0,0,0	275	39	0.005442191	0.1739139	0.731,0.947,0.775	1.0,1.0,1.0	-0.182	SE	NA	NA	NA	NA	118597093	118597225	118608657	118608722	NA	NA	NA	118605583	118605819
ENSG00000112902.12	SEMA5A	chr5	-	NA	NA	NA	NA	NA	NA	98193	32,44,26	4,4,0	19,33,19	0,0,0	136	39	0.009668314	0.1750488	0.696,0.759,1.0	1.0,1.0,1.0	-0.182	SE	NA	NA	NA	NA	9379822	9380023	9545583	9546075	NA	NA	NA	9437755	9437852
ENSG00000106733.21	NMRK1	chr9	-	NA	NA	NA	NA	NA	NA	113935	75,37,34	5,1,4	39,77,54	0,0,0	130	39	0.005904077	0.1739139	0.818,0.917,0.718	1.0,1.0,1.0	-0.182	SE	NA	NA	NA	NA	75077158	75077207	75083086	75083150	NA	NA	NA	75077489	75077580
ENSG00000249859.14	PVT1	chr8	+	NA	NA	NA	NA	NA	NA	9620	299,225,165	0,0,0	194,233,240	0,6,1	770	39	0.01109173246	0.1594335057	1.0,1.0,1.0	1.0,0.663,0.924	0.138	RI	NA	NA	NA	NA	127854395	127854423	127855154	127855319	NA	127854395	127855319	NA	NA
ENSG00000113810.16	SMC4	chr3	+	NA	NA	NA	NA	NA	NA	3448	99,51,91	4,1,2	55,65,61	5,8,4	115	39	0.008299620427	0.1524005325	0.894,0.945,0.939	0.789,0.734,0.838	0.139	RI	NA	NA	NA	NA	160412325	160412453	160412529	160412849	NA	160412325	160412849	NA	NA
ENSG00000245937.10	SLC12A2-DT	chr5	-	NA	NA	NA	NA	NA	NA	124602	37,36,30	49,38,43	54,47,68	22,19,21	261	39	0.0006735246	0.1068309	0.101,0.124,0.094	0.268,0.27,0.326	-0.182	SE	NA	NA	NA	NA	128061143	128061244	128082969	128083114	NA	NA	NA	128081972	128082194
ENSG00000131626.19	PPFIA1	chr11	+	NA	NA	NA	NA	NA	NA	126323	57,36,35	24,15,15	51,53,75	13,8,15	102	39	0.006990121	0.1739139	0.476,0.479,0.472	0.6,0.717,0.657	-0.182	SE	NA	NA	NA	NA	70362287	70362488	70372211	70372390	NA	NA	NA	70365372	70365435
ENSG00000081803.17	CADPS2	chr7	-	NA	NA	NA	NA	NA	NA	135850	49,41,49	8,0,4	35,79,57	0,0,0	123	39	0.006358309	0.1739139	0.66,1.0,0.795	1.0,1.0,1.0	-0.182	SE	NA	NA	NA	NA	122345573	122345681	122379367	122379442	NA	NA	NA	122360929	122361013
ENSG00000101104.13	PABPC1L	chr20	+	NA	NA	NA	NA	NA	NA	5104	40,32,52	1,4,6	44,61,61	0,0,1	114	39	0.01118238691	0.1776813271	0.932,0.732,0.748	1.0,1.0,0.954	-0.181	SE	NA	NA	NA	NA	44938044	44938191	44958336	44958952	NA	NA	NA	44938673	44938748
ENSG00000112357.14	PEX7	chr6	+	NA	NA	NA	NA	NA	NA	65545	61,39,39	14,2,0	36,41,38	0,0,0	117	39	0.009432325	0.174818	0.592,0.867,1.0	1.0,1.0,1.0	-0.18	SE	NA	NA	NA	NA	136826313	136826469	136872197	136872253	NA	NA	NA	136845614	136845692
ENSG00000272690.6	LINC02018	chr3	+	NA	NA	NA	NA	NA	NA	34919	27,11,16	9,4,7	31,48,23	5,9,4	249	39	0.0138265	0.1852942	0.32,0.301,0.264	0.493,0.455,0.474	-0.179	SE	NA	NA	NA	NA	75446397	75446535	75451209	75451402	NA	NA	NA	75447086	75447296
ENSG00000127452.9	FBXL12	chr19	-	9818727	9819079	9818753	9819079	9818544	9818617	849	387,307,264	42,32,26	260,339,397	51,66,80	65	39	0.0004827394846	0.08767207322	0.847,0.852,0.859	0.754,0.755,0.749	0.1	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000290425.1	PI4KAP1	chr22	-	NA	NA	NA	NA	NA	NA	9564	288,226,237	4,3,3	243,339,273	9,10,7	522	39	0.006628701428	0.147889754	0.843,0.849,0.855	0.669,0.717,0.744	0.139	RI	NA	NA	NA	NA	18536649	18536808	18537291	18537412	NA	18536649	18537412	NA	NA
ENSG00000203999.10	LINC01270	chr20	+	NA	NA	NA	NA	NA	NA	77638	37,23,21	6,2,0	21,19,13	0,0,0	118	39	0.01152731	0.178393	0.671,0.792,1.0	1.0,1.0,1.0	-0.179	SE	NA	NA	NA	NA	50311804	50311919	50313299	50314758	NA	NA	NA	50312351	50312430
ENSG00000148985.20	PGAP2	chr11	+	NA	NA	NA	NA	NA	NA	83247	67,53,59	13,6,4	63,72,68	3,4,3	214	39	0.01479867	0.1895225	0.484,0.617,0.729	0.793,0.766,0.805	-0.178	SE	NA	NA	NA	NA	3808558	3808651	3823882	3824135	NA	NA	NA	3811249	3811424
ENSG00000223959.11	AFG3L1P	chr16	+	89984530	89984648	89984530	89984599	89988851	89988951	1440	71,56,70	42,27,40	60,75,84	20,27,34	88	39	0.01549177903	0.1961047747	0.428,0.479,0.437	0.571,0.552,0.523	-0.101	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000080815.20	PSEN1	chr14	+	73136506	73136585	73136506	73136579	73147794	73147876	2459	1,2,4	42,20,36	5,11,9	30,35,42	45	39	0.008314589917	0.1672409906	0.02,0.08,0.088	0.126,0.214,0.157	-0.103	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000235513.2	L3MBTL2-AS1	chr22	-	NA	NA	NA	NA	NA	NA	114210	183,159,162	4,0,1	162,109,171	0,0,0	1113	39	0.01649631	0.1974233	0.616,1.0,0.85	1.0,1.0,1.0	-0.178	SE	NA	NA	NA	NA	41207591	41209951	41217031	41217910	NA	NA	NA	41213629	41214703
ENSG00000166224.18	SGPL1	chr10	+	NA	NA	NA	NA	NA	NA	119556	38,32,38	12,26,13	39,56,65	10,10,13	156	39	0.0092649	0.1745431	0.442,0.235,0.422	0.494,0.583,0.556	-0.178	SE	NA	NA	NA	NA	70815927	70816126	70844472	70844638	NA	NA	NA	70820183	70820300
ENSG00000137871.21	ZNF280D	chr15	-	NA	NA	NA	NA	NA	NA	22012	16,21,13	0,2,4	22,11,13	0,0,0	76	39	0.01241385	0.1808856	1.0,0.843,0.625	1.0,1.0,1.0	-0.177	SE	NA	NA	NA	NA	56642951	56642997	56658423	56658486	NA	NA	NA	56654197	56654234
ENSG00000134490.14	TMEM241	chr18	-	NA	NA	NA	NA	NA	NA	27778	55,70,47	7,0,5	52,77,112	0,0,0	121	39	0.00633007	0.1739139	0.717,1.0,0.752	1.0,1.0,1.0	-0.177	SE	NA	NA	NA	NA	23384989	23385067	23437780	23437853	NA	NA	NA	23399565	23399647
ENSG00000291102.1	GUSBP1	chr5	+	NA	NA	NA	NA	NA	NA	31815	49,62,46	32,32,22	49,60,75	14,13,17	224	39	0.003174977	0.1739139	0.21,0.252,0.267	0.379,0.446,0.434	-0.177	SE	NA	NA	NA	NA	21461782	21461866	21473356	21474438	NA	NA	NA	21471461	21471646
ENSG00000248049.8	UBA6-DT	chr4	+	NA	NA	NA	NA	NA	NA	35968	253,203,255	6,2,0	261,252,363	0,0,0	879	39	0.008094769	0.1739139	0.652,0.818,1.0	1.0,1.0,1.0	-0.177	SE	NA	NA	NA	NA	67730073	67730170	67745826	67746366	NA	NA	NA	67731505	67732345
ENSG00000172765.19	TMCC1	chr3	-	NA	NA	NA	NA	NA	NA	48278	4,0,4	18,13,19	11,24,2	11,18,4	128	39	0.002825422	0.1739139	0.063,0.0,0.06	0.234,0.289,0.132	-0.177	SE	NA	NA	NA	NA	129832757	129832826	129880308	129880559	NA	NA	NA	129867009	129867098
ENSG00000178440.9	TIMM23B-AGAP6	chr10	+	NA	NA	NA	NA	NA	NA	NA	7,4,0	6,19,8	0,0,0	25,27,20	141	109	0.005111462785	0.1984371989	0.474,0.14,0.0	0.0,0.0,0.0	0.205	MXE	49976083	49976185	49987164	49987234	49973011	49973142	49989307	49989376	13789	NA	NA	NA	NA
ENSG00000175106.17	TVP23C	chr17	-	NA	NA	NA	NA	NA	NA	1294	598,527,701	1,0,0	728,620,681	2,2,3	2318	39	0.01195526937	0.1642834399	0.91,1.0,1.0	0.86,0.839,0.792	0.14	RI	NA	NA	NA	NA	15536979	15538153	15540432	15540561	NA	15536979	15540561	NA	NA
ENSG00000234520.8	HRAT17	chr7	-	NA	NA	NA	NA	NA	NA	104195	0,0,0	2,0,6	2,4,1	3,2,4	158	39	0.003000446	0.1739139	0.0,NA,0.0	0.141,0.331,0.058	-0.177	SE	NA	NA	NA	NA	112956521	112956702	112986535	112986664	NA	NA	NA	112980045	112980164
ENSG00000100325.15	ASCC2	chr22	-	NA	NA	NA	NA	NA	NA	3217	348,294,272	26,43,36	259,293,385	17,11,15	198	39	0.004541434598	0.1739139121	0.725,0.574,0.598	0.75,0.84,0.835	-0.176	SE	NA	NA	NA	NA	29825086	29825257	29832244	29832342	NA	NA	NA	29825621	29825780
ENSG00000197857.16	ZNF44	chr19	-	NA	NA	NA	NA	NA	NA	9642	12,631,062,816	22,9,2	100,311,061,202	3,3,1	1616	39	0.007244429143	0.1739139121	0.581,0.74,0.908	0.89,0.899,0.967	-0.176	SE	NA	NA	NA	NA	12250241	12250368	12274972	12275033	NA	NA	NA	12272486	12274063
ENSG00000062524.16	LTK	chr15	-	NA	NA	NA	NA	NA	NA	1934	67,44,55	0,0,0	57,57,81	1,4,0	262	39	0.01412763642	0.1748170401	1.0,1.0,1.0	0.895,0.68,1.0	0.142	RI	NA	NA	NA	NA	41507094	41507290	41507513	41507657	NA	41507094	41507657	NA	NA
ENSG00000055483.20	USP36	chr17	-	NA	NA	NA	NA	NA	NA	12513	36,46,54	5,0,1	50,57,58	0,0,0	217	39	0.01251256	0.1809903	0.564,1.0,0.907	1.0,1.0,1.0	-0.176	SE	NA	NA	NA	NA	78787465	78787658	78798399	78798455	NA	NA	NA	78796316	78796494
ENSG00000100578.18	KIAA0586	chr14	+	58427727	58427857	58427727	58427813	58429362	58429433	5355	56,49,64	64,114,78	78,58,97	48,81,81	83	39	0.008158368788	0.1672409906	0.291,0.168,0.278	0.433,0.252,0.36	-0.103	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000142910.16	TINAGL1	chr1	+	NA	NA	NA	NA	NA	NA	4520	968,923,776	4,7,5	757,957,990	10,10,15	1475	39	0.008168988536	0.1524005325	0.865,0.777,0.804	0.667,0.717,0.636	0.142	RI	NA	NA	NA	NA	31583148	31583241	31584677	31584801	NA	31583148	31584801	NA	NA
ENSG00000106070.20	GRB10	chr7	-	NA	NA	NA	NA	NA	NA	77328	209,141,175	50,17,27	160,203,226	6,14,23	136	39	0.01329934	0.1836317	0.545,0.704,0.65	0.884,0.806,0.738	-0.176	SE	NA	NA	NA	NA	50727792	50727890	50755886	50755903	NA	NA	NA	50732271	50732368
ENSG00000132740.10	IGHMBP2	chr11	+	68906068	68906242	68906068	68906238	68908144	68908337	10069	2,2,0	47,47,31	4,9,6	21,48,54	43	39	0.00436705994	0.166650743	0.037,0.037,0.0	0.147,0.145,0.092	-0.103	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000164308.17	ERAP2	chr5	+	96900120	96900245	96900120	96900189	96901505	96901681	2520	77,37,43	41,18,20	76,89,98	26,26,32	95	39	0.009241550605	0.16860555	0.435,0.458,0.469	0.545,0.584,0.557	-0.108	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000132749.11	TESMIN	chr11	-	NA	NA	NA	NA	NA	NA	105391	27,25,22	1,4,0	19,19,50	0,0,0	160	39	0.01432857	0.1873627	0.868,0.604,1.0	1.0,1.0,1.0	-0.176	SE	NA	NA	NA	NA	68736131	68738788	68747207	68747366	NA	NA	NA	68744990	68745111
ENSG00000235513.2	L3MBTL2-AS1	chr22	-	NA	NA	NA	NA	NA	NA	114211	158,139,141	4,0,1	151,95,157	0,0,0	947	39	0.01553981	0.1923992	0.619,1.0,0.853	1.0,1.0,1.0	-0.176	SE	NA	NA	NA	NA	41208551	41209951	41217031	41217310	NA	NA	NA	41213795	41214703
ENSG00000167840.14	ZNF232	chr17	-	NA	NA	NA	NA	NA	NA	16461	71,35,31	16,18,11	51,55,80	7,10,15	183	39	0.01166231	0.1790715	0.486,0.293,0.375	0.608,0.54,0.532	-0.175	SE	NA	NA	NA	NA	5109393	5109768	5111799	5111815	NA	NA	NA	5111075	5111219
ENSG00000160948.14	VPS28	chr8	-	NA	NA	NA	NA	NA	NA	8200	297,247,278	0,0,4	210,287,315	7,5,4	446	39	0.009088207396	0.1542756448	1.0,1.0,0.859	0.724,0.834,0.873	0.143	RI	NA	NA	NA	NA	144424945	144425772	144426179	144426208	NA	144424945	144426208	NA	NA
ENSG00000267278.6	MAP3K14-AS1	chr17	+	NA	NA	NA	NA	NA	NA	41964	35,22,18	2,6,0	30,32,50	0,1,0	123	39	0.01673821	0.1982804	0.847,0.538,1.0	1.0,0.91,1.0	-0.175	SE	NA	NA	NA	NA	45247924	45248003	45267112	45267328	NA	NA	NA	45255134	45255218
ENSG00000169126.16	ODAD2	chr10	-	NA	NA	NA	NA	NA	NA	118240	57,24,60	4,0,3	66,96,78	0,0,0	232	39	0.005393804	0.1739139	0.705,1.0,0.771	1.0,1.0,1.0	-0.175	SE	NA	NA	NA	NA	27984183	27984290	27994918	27995180	NA	NA	NA	27985018	27985211
ENSG00000197062.12	ZSCAN26	chr6	+	28271853	28272339	28271853	28272336	28272669	28272787	2713	117,71,98	25,33,10	83,111,95	10,9,10	42	39	0.01520554401	0.195706353	0.813,0.666,0.901	0.885,0.92,0.898	-0.108	A5SS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000177595.19	PIDD1	chr11	-	NA	NA	NA	NA	NA	NA	8312	100,102,87	26,21,9	47,101,169	19,42,41	321	39	0.00919478546	0.1547886495	0.318,0.371,0.54	0.231,0.226,0.334	0.146	RI	NA	NA	NA	NA	802681	802891	803173	803647	NA	802681	803647	NA	NA
ENSG00000086619.15	ERO1B	chr1	-	NA	NA	NA	NA	NA	NA	128802	55,20,32	1,0,10	35,24,48	0,0,0	113	39	0.01259562	0.1813095	0.95,1.0,0.525	1.0,1.0,1.0	-0.175	SE	NA	NA	NA	NA	236236277	236236398	236252049	236252091	NA	NA	NA	236243421	236243495
ENSG00000102384.14	CENPI	chrX	+	NA	NA	NA	NA	NA	NA	907	330,295,254	20,19,11	262,279,312	4,9,3	296	39	0.01694589921	0.1994991259	0.685,0.672,0.753	0.896,0.803,0.932	-0.174	SE	NA	NA	NA	NA	101098217	101098248	101101057	101101295	NA	NA	NA	101099808	101100065
