gene_symbol	ensembl_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_transcripts	n_differential_transcripts	n_overexpressed_transcripts	n_underexpressed_transcripts	n_exons	n_differential_exons	n_overexpressed_exons	n_underexpressed_exons	n_events	n_differential_events	n_overexpressed_events	n_underexpressed_events	Ediciones
DNER	ENSG00000187957.8	616.159	-0.6225614263	0.1090749453	-5.7076483	1.15E-08	6.07E-07	2	0	0	0	11	0	0	0	4	0	0	0	0
DOCK2	ENSG00000134516.20	3679.503342	-0.5241699141	0.07361681909	-7.120246712	1.08E-12	9.79E-11	18	1	0	1	73	0	0	0	22	0	0	0	0
DOCK4	ENSG00000128512.24	5133.083426	-0.4770298062	0.08583298159	-5.557651585	2.73E-08	1.37E-06	18	0	0	0	70	0	0	0	14	0	0	0	0
DPP6	ENSG00000130226.18	78.93156606	-2.114672862	0.3135441883	-6.744417347	1.54E-11	1.19E-09	23	0	0	0	0	0	0	0	0	0	0	0	0
DPP9	ENSG00000142002.19	13736.94063	-0.1793492677	0.06212819456	-2.886761301	0.003892293984	0.04929341886	29	0	0	0	87	1	1	0	28	1	0	1	0
DRAM1	ENSG00000136048.14	1557.283851	-0.6607815682	0.08814373257	-7.496637015	6.55E-14	6.66E-12	7	0	0	0	18	0	0	0	10	0	0	0	0
DSE	ENSG00000111817.19	7510.312743	-0.3594086015	0.05678053778	-6.329785092	2.46E-10	1.64E-08	18	0	0	0	27	0	0	0	11	0	0	0	8
DTX2	ENSG00000091073.20	2114.257579	-0.3401396218	0.08367277629	-4.065116958	4.80E-05	0.001235709772	21	0	0	0	35	0	0	0	24	1	1	0	2
DTYMK	ENSG00000168393.13	2578.378371	0.3565740599	0.08698149616	4.09942431	4.14E-05	0.001084839387	7	0	0	0	17	0	0	0	15	0	0	0	0
DUOXA2	ENSG00000140274.14	20.34523431	-2.229725322	0.6708680422	-3.323642179	0.0008885011833	0.01491842361	3	0	0	0	0	0	0	0	0	0	0	0	0
DUSP1	ENSG00000120129.6	10079.41053	0.5415334215	0.06543942113	8.275339424	1.28E-16	1.50E-14	1	0	0	0	4	0	0	0	5	0	0	0	0
DUSP10	ENSG00000143507.18	3597.856122	-0.2574286728	0.0696307131	-3.69705639	0.0002181139063	0.004632537015	4	0	0	0	7	0	0	0	4	0	0	0	0
DUSP16	ENSG00000111266.9	2092.549617	-0.2859343461	0.07204581907	-3.968784724	7.22E-05	0.001766837917	6	0	0	0	17	0	0	0	3	0	0	0	1
DUSP4	ENSG00000120875.9	37185.3976	0.2548900171	0.05405677081	4.71522833	2.41E-06	8.20E-05	2	0	0	0	7	0	0	0	4	1	1	0	0
DUSP5	ENSG00000138166.6	16237.40956	-0.4227862108	0.05787811091	-7.304768661	2.78E-13	2.65E-11	2	0	0	0	7	0	0	0	7	0	0	0	0
DUSP6	ENSG00000139318.8	28333.44349	0.2770581858	0.05609844202	4.938785746	7.86E-07	2.95E-05	5	0	0	0	13	2	2	0	1	0	0	0	0
DUT	ENSG00000128951.14	4678.979295	0.2189631861	0.07305580889	2.997204321	0.002724680292	0.03739015162	11	0	0	0	24	0	0	0	5	0	0	0	0
DVL1	ENSG00000107404.21	15865.1648	0.1948678199	0.06661210814	2.925411391	0.003440011273	0.04456106007	7	0	0	0	31	1	1	0	20	0	0	0	0
E2F1	ENSG00000101412.13	3585.025888	0.3008889744	0.07562372833	3.978764086	6.93E-05	0.001707406885	1	0	0	0	7	0	0	0	2	0	0	0	0
E2F2	ENSG00000007968.7	565.4353427	0.3885702027	0.113711563	3.417156464	0.0006327890047	0.01123495407	2	0	0	0	8	0	0	0	1	0	0	0	0
EBI3	ENSG00000105246.6	86.53257715	-1.48266584	0.2844289069	-5.21278184	1.86E-07	7.97E-06	2	0	0	0	6	0	0	0	0	0	0	0	0
ECE1	ENSG00000117298.16	27392.78989	-0.3884467395	0.05569426147	-6.974627714	3.07E-12	2.62E-10	14	0	0	0	39	0	0	0	25	0	0	0	0
ECHDC2	ENSG00000121310.17	1228.801475	0.3073400887	0.09844324056	3.122002963	0.001796251308	0.02676569994	26	0	0	0	55	0	0	0	37	1	0	1	1
ECHDC3	ENSG00000134463.15	2295.812166	0.3637781199	0.09060668291	4.014914885	5.95E-05	0.001501437738	5	0	0	0	12	1	1	0	2	0	0	0	0
ECM1	ENSG00000143369.15	1969.48276	-0.2800936251	0.08666641727	-3.23185882	0.001229878038	0.0197585467	7	0	0	0	23	0	0	0	11	0	0	0	0
ECT2	ENSG00000114346.14	20189.49375	0.1731128636	0.05275217557	3.281625102	0.001032107291	0.01697060945	16	0	0	0	53	0	0	0	26	0	0	0	0
EDN1	ENSG00000078401.7	3755.074303	-0.3003780232	0.06947498564	-4.32354207	1.54E-05	0.0004458201617	1	0	0	0	5	0	0	0	1	0	0	0	0
EDN2	ENSG00000127129.10	391.3963126	-0.5990621008	0.1732728209	-3.457334496	0.0005455472293	0.009968483487	5	0	0	0	9	0	0	0	4	0	0	0	0
EDN3	ENSG00000124205.18	14.3421621	-2.202425592	0.7044834826	-3.126298411	0.001770218237	0.02645770621	8	0	0	0	0	0	0	0	0	0	0	0	0
EFHD2	ENSG00000142634.13	11106.39769	-0.371003145	0.05777065981	-6.421999441	1.34E-10	9.34E-09	2	0	0	0	7	0	0	0	3	0	0	0	0
EFNA1	ENSG00000169242.12	446.6441164	-0.747195874	0.1257576724	-5.941552986	2.82E-09	1.66E-07	5	0	0	0	8	0	0	0	3	0	0	0	0
EGFL6	ENSG00000198759.12	9.645364285	-6.690760581	1.41633582	-4.723993057	2.31E-06	7.89E-05	3	1	0	1	0	0	0	0	0	0	0	0	0
EGLN1	ENSG00000135766.9	7601.284508	0.1807485174	0.06183495281	2.923080057	0.003465873915	0.04481014049	7	0	0	0	17	1	1	0	11	0	0	0	0
EGR1	ENSG00000120738.8	2419.108866	0.3183818369	0.09310718679	3.419519458	0.0006273184593	0.0111627991	1	0	0	0	2	0	0	0	0	0	0	0	0
EHD1	ENSG00000110047.18	34167.76732	-0.4026146449	0.06639653847	-6.063789682	1.33E-09	8.14E-08	13	0	0	0	26	0	0	0	1	0	0	0	0
EHF	ENSG00000135373.13	19496.69765	-0.3768198759	0.06705153842	-5.619854291	1.91E-08	9.79E-07	12	0	0	0	22	0	0	0	14	0	0	0	0
EID1	ENSG00000255302.5	9358.564482	0.1860346717	0.06445843207	2.886118476	0.003900253058	0.0493679559	2	0	0	0	5	0	0	0	0	0	0	0	0
EID2	ENSG00000176396.11	1528.311662	0.2969657777	0.08097432953	3.667406441	0.0002450231592	0.005112845221	1	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S3	ENSG00000130741.11	24372.65441	-0.1582629295	0.05274474741	-3.000543888	0.002694979134	0.03714989468	5	0	0	0	22	0	0	0	12	0	0	0	0
EIF4EBP2	ENSG00000148730.7	5038.02038	0.3893867041	0.08630157474	4.511930463	6.42E-06	0.0002028509455	1	0	0	0	3	0	0	0	0	0	0	0	0
EIF5	ENSG00000100664.11	21752.69861	-0.1843642252	0.05401376996	-3.413281934	0.0006418550312	0.01133646346	21	0	0	0	53	0	0	0	9	0	0	0	0
ELFN1	ENSG00000225968.8	35.06943884	-2.287593254	0.4905485636	-4.663336973	3.11E-06	0.000104184525	4	0	0	0	0	0	0	0	1	0	0	0	0
ELFN2	ENSG00000166897.16	1842.988304	0.2419945196	0.08334513012	2.903523208	0.003689896215	0.04718192211	8	0	0	0	13	0	0	0	3	0	0	0	0
EML6-AS1	ENSG00000231334.2	4.885921953	-5.702360966	1.644488256	-3.467559555	0.0005252073476	0.009633791787	1	0	0	0	0	0	0	0	0	0	0	0	0
ENKD1	ENSG00000124074.12	478.4737406	0.356025991	0.1217812728	2.923487191	0.003461344659	0.04478867119	7	0	0	0	14	0	0	0	9	0	0	0	0
ENOX1-AS1	ENSG00000233821.1	92.17628409	-9.948665043	1.208574006	-8.231738394	1.85E-16	2.14E-14	1	1	0	1	0	0	0	0	0	0	0	0	0
EPAS1	ENSG00000116016.14	6158.820822	-0.1972347141	0.06658657391	-2.962079328	0.003055690457	0.04080366466	10	0	0	0	29	0	0	0	1	0	0	0	0
EPG5	ENSG00000152223.16	16013.73154	-0.315537825	0.100285905	-3.146382584	0.001653036191	0.02497280373	19	0	0	0	66	0	0	0	38	0	0	0	1
EPHA6	ENSG00000080224.18	39.793422	-2.588014662	0.4931150212	-5.248298168	1.54E-07	6.68E-06	9	0	0	0	0	0	0	0	0	0	0	0	0
EPHA8	ENSG00000070886.12	49.69255533	-2.619476629	0.4496066791	-5.826151502	5.67E-09	3.19E-07	2	0	0	0	0	0	0	0	0	0	0	0	0
EPHB2	ENSG00000133216.17	13300.75228	-0.2319294205	0.06017973964	-3.853945229	0.0001162296072	0.002666002617	7	0	0	0	27	0	0	0	9	0	0	0	0
ERAP1	ENSG00000164307.13	10319.84031	-0.2575302272	0.06201081654	-4.15298881	3.28E-05	0.0008818487896	9	0	0	0	36	0	0	0	9	0	0	0	0
EREG	ENSG00000124882.4	5899.779865	-0.4763711547	0.07962064047	-5.983010836	2.19E-09	1.31E-07	3	0	0	0	9	0	0	0	5	0	0	0	0
ERN1	ENSG00000178607.17	2406.028516	-0.8570375008	0.08009789459	-10.69987551	1.02E-26	1.99E-24	10	2	0	2	33	0	0	0	4	0	0	0	0
ESPN	ENSG00000187017.18	67.63696469	1.023452042	0.3448759758	2.967594481	0.003001400228	0.04042460809	16	0	0	0	7	0	0	0	1	0	0	0	0
ESPNL	ENSG00000144488.15	46.02198394	-2.110251753	0.38797315	-5.439169573	5.35E-08	2.50E-06	6	0	0	0	0	0	0	0	0	0	0	0	0
ETS1	ENSG00000134954.14	8389.299222	-0.5428341104	0.05983732537	-9.071831119	1.17E-19	1.75E-17	9	0	0	0	17	0	0	0	5	0	0	0	0
ETV4	ENSG00000175832.13	4889.26786	-0.265502348	0.07105579842	-3.736533174	0.0001865748439	0.00403832769	11	0	0	0	32	0	0	0	30	0	0	0	0
ETV7	ENSG00000010030.14	329.5093392	-0.897227564	0.1468877751	-6.108252122	1.01E-09	6.26E-08	8	1	0	1	12	0	0	0	7	0	0	0	0
EVA1A	ENSG00000115363.14	3800.708213	-0.4644887017	0.06560699612	-7.079865398	1.44E-12	1.28E-10	11	0	0	0	19	0	0	0	9	3	3	0	0
EVX2	ENSG00000174279.5	90.10115032	-2.110908504	0.2985445734	-7.070664458	1.54E-12	1.35E-10	1	0	0	0	0	0	0	0	0	0	0	0	0
EXOC3L4	ENSG00000205436.8	125.8237917	-0.6903237712	0.2256672585	-3.059033799	0.002220520961	0.0316956736	9	0	0	0	19	0	0	0	7	2	1	1	0
EXOSC6	ENSG00000223496.3	3962.303875	0.3860190874	0.07777251264	4.963438551	6.93E-07	2.63E-05	1	0	0	0	0	0	0	0	0	0	0	0	9
EXTL2	ENSG00000162694.14	4770.533794	-0.199973841	0.06676432549	-2.995219971	0.002742469875	0.03759094142	7	0	0	0	19	0	0	0	6	1	1	0	0
F2RL3	ENSG00000127533.4	381.6634133	-0.4909844343	0.1360313529	-3.609347578	0.000306968078	0.006190177179	2	0	0	0	5	0	0	0	0	0	0	0	0
FABP9	ENSG00000205186.4	7.371919035	-6.304647229	1.492474617	-4.224291092	2.40E-05	0.0006651370907	1	1	0	1	0	0	0	0	0	0	0	0	0
FAM102B	ENSG00000162636.16	5035.035574	0.2922586581	0.06742897501	4.334318563	1.46E-05	0.0004266138612	3	0	0	0	14	0	0	0	6	0	0	0	0
FAM111A-DT	ENSG00000245571.7	213.5920253	-1.879215386	0.1937811761	-9.697615753	3.09E-22	5.03E-20	5	1	0	1	8	0	0	0	0	0	0	0	0
FAM13C	ENSG00000148541.13	275.2685356	0.5018983275	0.1553277402	3.231221461	0.00123262396	0.01978930807	20	0	0	0	29	0	0	0	4	0	0	0	0
FAM151B-DT	ENSG00000249042.6	415.6035041	0.4090537302	0.1263382466	3.237766403	0.001204694057	0.01939380729	3	0	0	0	6	0	0	0	1	0	0	0	0
FAM153B	ENSG00000289731.1	30.80507355	-8.364016674	1.273547339	-6.567495699	5.12E-11	3.78E-09	68	1	0	1	0	0	0	0	0	0	0	0	0
FAM167A	ENSG00000154319.16	1226.354998	-0.4831038822	0.09972659982	-4.844283101	1.27E-06	4.55E-05	8	0	0	0	11	0	0	0	2	0	0	0	0
FAM174C	ENSG00000228300.14	1730.528495	0.2589932493	0.08810534404	2.939586152	0.003286508894	0.04313588218	5	0	0	0	13	0	0	0	2	0	0	0	0
FAM184B	ENSG00000047662.5	49.22730823	-2.315486484	0.4279835385	-5.410223235	6.29E-08	2.92E-06	1	0	0	0	2	0	0	0	1	0	0	0	2
FAM201A	ENSG00000204860.5	78.52072766	0.9057133068	0.2822577486	3.208816449	0.001332825493	0.02098759402	5	0	0	0	4	0	0	0	0	0	0	0	0
FAM20B	ENSG00000116199.12	11181.51818	0.1686018486	0.056132937	3.003617085	0.002667908707	0.03688747875	2	0	0	0	9	0	0	0	6	0	0	0	20
FAM225A	ENSG00000231528.3	5463.984604	-0.1907403434	0.0599425799	-3.182050952	0.001462360893	0.02256471192	2	0	0	0	0	0	0	0	0	0	0	0	1
FAM237B	ENSG00000283267.2	87.32580278	-2.43885679	0.318014557	-7.669009913	1.73E-14	1.80E-12	2	1	0	1	0	0	0	0	0	0	0	0	0
FAM3D-AS1	ENSG00000244383.2	11.38477112	-4.463572388	1.075892144	-4.148717335	3.34E-05	0.0008944247755	2	1	0	1	0	0	0	0	0	0	0	0	0
FAM50B	ENSG00000145945.7	443.4723934	0.391497676	0.1226658463	3.191578485	0.001414976625	0.02203347185	2	0	0	0	3	0	0	0	0	0	0	0	0
FAM53B	ENSG00000189319.14	2531.262149	0.2275225712	0.07522359033	3.02461728	0.002489479309	0.03474326663	3	0	0	0	7	0	0	0	1	0	0	0	0
FAM72A	ENSG00000196550.11	939.6340783	0.3465537136	0.09611194145	3.60573003	0.0003112766168	0.006254164531	8	0	0	0	12	0	0	0	2	0	0	0	0
FAM72B	ENSG00000188610.12	1096.954083	0.4346294062	0.0899344833	4.832733678	1.35E-06	4.80E-05	7	0	0	0	16	0	0	0	3	0	0	0	0
FAM76B	ENSG00000077458.13	1866.902674	0.3449037987	0.09925897222	3.474787125	0.000511258893	0.009465445555	13	0	0	0	39	0	0	0	7	0	0	0	0
FAM83D	ENSG00000101447.15	11560.55943	0.2151965909	0.06782602563	3.17277312	0.001509904668	0.0231632218	2	0	0	0	5	0	0	0	3	0	0	0	0
FAM83H	ENSG00000180921.7	777.7138032	0.48606242	0.1063553082	4.570175466	4.87E-06	0.000156790639	3	0	0	0	8	0	0	0	0	0	0	0	1
FAM8A1	ENSG00000137414.7	2061.512267	0.3372008115	0.0851199049	3.961480125	7.45E-05	0.001813344639	7	0	0	0	14	0	0	0	1	0	0	0	0
FAM98C	ENSG00000130244.13	587.8160866	0.5327590035	0.1215792979	4.381987826	1.18E-05	0.0003482551372	10	0	0	0	18	0	0	0	9	0	0	0	4
FANCC	ENSG00000158169.14	2176.469698	-0.6419718738	0.09039459773	-7.101883187	1.23E-12	1.11E-10	25	1	0	1	44	0	0	0	7	0	0	0	1
FAS	ENSG00000026103.25	873.9757681	-0.502773695	0.1022024745	-4.919388667	8.68E-07	3.22E-05	61	1	1	0	61	0	0	0	31	0	0	0	0
FASN	ENSG00000169710.9	21676.1236	0.2822045141	0.06557561113	4.303498042	1.68E-05	0.0004834329312	13	1	0	1	72	1	1	0	26	0	0	0	0
FAXDC2	ENSG00000170271.11	491.1114997	-0.6909996505	0.1346071516	-5.133454219	2.84E-07	1.19E-05	16	0	0	0	25	0	0	0	7	0	0	0	0
FBLIM1	ENSG00000162458.13	1149.562953	-0.3561314887	0.09713419726	-3.666386285	0.0002460022364	0.005124293303	15	0	0	0	27	0	0	0	10	0	0	0	0
FBXL13	ENSG00000161040.19	1569.597098	-0.3054725765	0.09024226798	-3.385027696	0.0007117107303	0.01237773614	13	0	0	0	32	0	0	0	28	0	0	0	1
FBXL17	ENSG00000145743.18	999.2084972	0.3927524973	0.1203793009	3.26262484	0.001103855422	0.0180011601	4	0	0	0	12	0	0	0	0	0	0	0	0
FBXO21	ENSG00000135108.16	4681.694133	0.2067287861	0.06136472994	3.368853513	0.0007548153301	0.01299929117	7	0	0	0	22	0	0	0	7	0	0	0	0
FBXO25	ENSG00000147364.17	923.9805226	0.4830386355	0.1023230745	4.7207205	2.35E-06	7.99E-05	10	0	0	0	18	0	0	0	3	0	0	0	0
FBXO32	ENSG00000156804.7	2251.814853	-0.6408883616	0.07151557619	-8.961521331	3.20E-19	4.71E-17	6	0	0	0	18	2	2	0	3	0	0	0	0
FBXO39	ENSG00000177294.7	11.55855265	-2.894887593	0.8407618718	-3.44317183	0.0005749338932	0.01038588851	3	0	0	0	0	0	0	0	0	0	0	0	0
FBXW4	ENSG00000107829.15	2114.997497	-0.2500313729	0.07422621775	-3.368504828	0.0007557707341	0.01299929117	6	0	0	0	13	0	0	0	6	0	0	0	0
FCGBP	ENSG00000275395.7	410.2350444	-0.4921698508	0.1663408086	-2.958804005	0.003088354547	0.0411015279	2	0	0	0	17	0	0	0	1	0	0	0	0
FERMT2	ENSG00000073712.15	25146.07398	-0.2267551927	0.05094840798	-4.450682597	8.56E-06	0.0002629674143	15	0	0	0	42	0	0	0	13	0	0	0	3
FES	ENSG00000182511.12	79.09488813	-0.8661139944	0.2772063858	-3.124437382	0.001781454344	0.02659225485	17	1	0	1	2	0	0	0	11	0	0	0	0
FGD6	ENSG00000180263.14	6294.367672	-0.4474250253	0.09706953242	-4.609325029	4.04E-06	0.0001315775732	7	0	0	0	30	0	0	0	18	0	0	0	0
FHAD1	ENSG00000142621.21	115.6208121	-0.8442003113	0.2432615409	-3.470340228	0.000519799486	0.00957399453	24	0	0	0	4	0	0	0	3	0	0	0	0
FHIP2B	ENSG00000158863.22	2077.52503	-0.2688942755	0.07302613849	-3.682164785	0.0002312618447	0.004855479066	12	1	0	1	39	0	0	0	3	0	0	0	0
FHOD3	ENSG00000134775.16	8522.902666	-0.2307729939	0.06065991981	-3.80437354	0.0001421635158	0.003171070038	9	0	0	0	36	0	0	0	41	2	1	1	0
FLOT1	ENSG00000137312.15	11449.16409	0.332054321	0.06521839349	5.091421349	3.55E-07	1.45E-05	12	0	0	0	38	4	0	4	51	0	0	0	0
FLT4	ENSG00000037280.16	22.01027713	-2.125932057	0.6289993187	-3.379863846	0.0007252174622	0.01256674131	12	0	0	0	0	0	0	0	1	0	0	0	0
FMNL3	ENSG00000161791.14	5013.782641	-0.548387304	0.07742247862	-7.083050216	1.41E-12	1.26E-10	7	0	0	0	39	0	0	0	21	0	0	0	0
FNDC3B	ENSG00000075420.13	21417.71819	-0.4086260454	0.1126453769	-3.62754386	0.000286130181	0.00584761672	12	0	0	0	44	0	0	0	31	0	0	0	0
FOS	ENSG00000170345.10	15551.48328	1.320218387	0.069972991	18.86754258	2.11E-79	1.57E-76	10	5	5	0	23	6	6	0	4	0	0	0	0
FOSB	ENSG00000125740.14	6144.789182	0.9406808332	0.1054821431	8.917915443	4.75E-19	6.90E-17	13	1	1	0	24	0	0	0	2	0	0	0	1
FOXA2	ENSG00000125798.15	864.8957634	0.3199744768	0.107170049	2.985670716	0.002829571496	0.03851873514	2	0	0	0	3	0	0	0	0	0	0	0	0
FOXE1	ENSG00000178919.9	8.748399376	-3.973173443	1.166962714	-3.404713275	0.000662335573	0.01162945992	1	0	0	0	0	0	0	0	0	0	0	0	0
FOXI2	ENSG00000186766.8	9.284881241	-5.651001595	1.408568397	-4.011875892	6.02E-05	0.001516770373	1	1	0	1	0	0	0	0	0	0	0	0	0
FOXJ1	ENSG00000129654.8	14.80172871	2.85269768	0.7315207113	3.899681357	9.63E-05	0.002261738875	1	0	0	0	0	0	0	0	0	0	0	0	0
FOXL2	ENSG00000183770.7	52.5664103	-2.63637194	0.3884124074	-6.787558506	1.14E-11	9.08E-10	1	1	0	1	0	0	0	0	0	0	0	0	0
FOXQ1	ENSG00000164379.7	1542.811478	0.4247703324	0.08375311768	5.071695767	3.94E-07	1.59E-05	1	0	0	0	0	0	0	0	0	0	0	0	0
FPGT	ENSG00000254685.8	907.3798497	0.526094792	0.09876891938	5.326521696	1.00E-07	4.50E-06	8	0	0	0	15	0	0	0	3	0	0	0	0
FRMD6	ENSG00000139926.16	34318.71511	-0.2463805527	0.05103678891	-4.8275089	1.38E-06	4.91E-05	18	0	0	0	45	0	0	0	13	0	0	0	0
FSCN2	ENSG00000186765.12	1039.386158	-1.397530861	0.127912109	-10.92571197	8.69E-28	1.78E-25	3	1	0	1	10	0	0	0	4	1	1	0	0
FUBP1	ENSG00000162613.18	8817.338695	-0.1857130437	0.06034918341	-3.077308312	0.00208879134	0.03015890419	15	0	0	0	48	0	0	0	14	0	0	0	0
FZD1	ENSG00000157240.4	5480.491256	-0.2711053443	0.07038653614	-3.85166481	0.000117317533	0.002688366837	1	0	0	0	0	0	0	0	0	0	0	0	0
FZD7	ENSG00000155760.3	7836.076722	0.213837398	0.06937053258	3.082539373	0.002052425774	0.02988079012	1	0	0	0	0	0	0	0	0	0	0	0	0
G0S2	ENSG00000123689.6	7345.113873	-0.6242034903	0.06504342474	-9.596719312	8.25E-22	1.32E-19	1	0	0	0	2	0	0	0	0	0	0	0	0
G6PD	ENSG00000160211.20	3825.399667	0.2720376708	0.06983287016	3.895553342	9.80E-05	0.002293689198	24	0	0	0	42	0	0	0	11	0	0	0	0
GABBR2	ENSG00000136928.7	895.6384454	-2.163663412	0.1163534505	-18.59561021	3.49E-77	2.44E-74	12	1	0	1	0	0	0	0	0	0	0	0	0
GABRA1	ENSG00000022355.18	7.327688157	-6.293416017	1.467300767	-4.289111106	1.79E-05	0.0005096763143	20	1	0	1	0	0	0	0	0	0	0	0	0
GABRA2	ENSG00000151834.16	37.20968282	-2.167632933	0.4373678464	-4.956086623	7.19E-07	2.73E-05	16	0	0	0	0	0	0	0	0	0	0	0	0
GALNT15	ENSG00000131386.20	19.8869031	-3.286635118	0.6888558472	-4.771150788	1.83E-06	6.35E-05	6	0	0	0	0	0	0	0	0	0	0	0	0
GALNT5	ENSG00000136542.9	10069.90351	0.1671233561	0.05711320427	2.926177198	0.003431554197	0.04447570707	3	0	0	0	13	0	0	0	2	0	0	0	0
GALNT6	ENSG00000139629.16	3935.550932	-0.4105832995	0.07269494031	-5.648031318	1.62E-08	8.44E-07	19	0	0	0	39	0	0	0	17	0	0	0	0
GALNTL5	ENSG00000106648.14	247.8298723	-10.41272765	1.193000277	-8.72818544	2.59E-18	3.62E-16	11	1	0	1	0	0	0	0	0	0	0	0	0
GALR2	ENSG00000182687.4	58.63425248	-1.005284375	0.3308754581	-3.038256088	0.00237951647	0.03352302227	1	0	0	0	2	0	0	0	0	0	0	0	0
GAS2L1	ENSG00000185340.16	5428.252848	0.4252493164	0.07394866153	5.750601939	8.89E-09	4.79E-07	10	0	0	0	24	0	0	0	7	0	0	0	0
GAS2L3	ENSG00000139354.11	3926.176961	0.3689294333	0.07323932869	5.037313148	4.72E-07	1.85E-05	9	0	0	0	28	0	0	0	14	1	1	0	16
GAS6	ENSG00000183087.15	15513.86868	0.2487680337	0.05747065187	4.328609918	1.50E-05	0.0004372854708	5	0	0	0	21	2	2	0	9	0	0	0	0
GBP1	ENSG00000117228.11	16382.52318	-0.3875495972	0.0563343167	-6.87945856	6.01E-12	4.92E-10	9	0	0	0	27	0	0	0	6	0	0	0	0
GBP2	ENSG00000162645.13	5335.255145	-0.3380954768	0.07547486774	-4.479576937	7.48E-06	0.0002327715021	4	0	0	0	18	0	0	0	5	0	0	0	0
GBP3	ENSG00000117226.12	15493.59387	-0.3448750496	0.05321331906	-6.480991144	9.11E-11	6.52E-09	11	0	0	0	34	0	0	0	11	1	1	0	0
GBP4	ENSG00000162654.9	2237.06211	-0.7248493499	0.08477218528	-8.550556383	1.22E-17	1.59E-15	3	0	0	0	17	0	0	0	1	0	0	0	7
GBP5	ENSG00000154451.15	99.10210854	-0.7886242794	0.2591154428	-3.043524812	0.002338241578	0.03307854648	5	0	0	0	10	0	0	0	1	0	0	0	0
GCA	ENSG00000115271.11	1077.727262	0.2689498029	0.09204006604	2.92209485	0.003476856411	0.04489179733	10	0	0	0	22	0	0	0	1	0	0	0	0
GCK	ENSG00000106633.18	5.639469654	-4.916825586	1.521944491	-3.230620837	0.001235216795	0.01981757189	14	0	0	0	0	0	0	0	0	0	0	0	0
GCNT2	ENSG00000111846.20	17889.24017	-0.2438697354	0.05514465201	-4.422364209	9.76E-06	0.0002953486987	16	1	0	1	30	0	0	0	18	0	0	0	0
GDF15	ENSG00000130513.7	841.6339734	-0.9788005486	0.1289553317	-7.590229392	3.19E-14	3.29E-12	5	0	0	0	4	0	0	0	0	0	0	0	0
GDPD1	ENSG00000153982.11	170.273351	-0.5976838086	0.1901384078	-3.143414398	0.001669892498	0.02517952533	7	0	0	0	19	0	0	0	2	0	0	0	3
GFPT2	ENSG00000131459.13	8621.827953	-1.060343822	0.05780409857	-18.34374808	3.70E-75	2.38E-72	8	1	0	1	24	0	0	0	10	0	0	0	0
GGT1	ENSG00000100031.19	1314.752434	-0.2503584366	0.08583631575	-2.916695974	0.003537604098	0.04560195775	26	0	0	0	55	0	0	0	30	0	0	0	0
GGT5	ENSG00000099998.19	1193.575027	0.4319543908	0.08949715274	4.826459587	1.39E-06	4.92E-05	6	0	0	0	21	0	0	0	35	3	3	0	4
GIHCG	ENSG00000257698.3	330.1890684	0.6775928764	0.1725718411	3.9264394	8.62E-05	0.002062950549	14	0	0	0	19	0	0	0	8	0	0	0	0
GIMAP2	ENSG00000106560.11	51.37887947	-1.419095783	0.4061906928	-3.49366888	0.0004764315387	0.008981281476	3	0	0	0	0	0	0	0	0	0	0	0	0
GIMAP8	ENSG00000171115.4	83.81683497	-0.8631771599	0.2751154146	-3.137509257	0.001703898937	0.02561119305	1	0	0	0	3	0	0	0	1	0	0	0	0
GINS1	ENSG00000101003.12	3275.08674	0.3072912579	0.06544434702	4.695459147	2.66E-06	8.96E-05	25	1	1	0	47	0	0	0	41	0	0	0	10
GINS2	ENSG00000131153.9	1817.378049	0.2561458247	0.08419458967	3.042307418	0.002347719911	0.03317321267	3	0	0	0	8	0	0	0	1	0	0	0	0
GJB2	ENSG00000165474.8	2182.175469	-0.4032152935	0.08299523862	-4.858294285	1.18E-06	4.28E-05	2	0	0	0	2	0	0	0	0	0	0	0	1
GLIPR1	ENSG00000139278.10	7226.278884	-0.2116503875	0.0670895233	-3.154745735	0.001606380358	0.02439177931	4	0	0	0	13	0	0	0	5	0	0	0	0
GLS	ENSG00000115419.14	14764.79932	0.2279061508	0.07661418314	2.974725325	0.002932509991	0.03962081414	16	0	0	0	46	0	0	0	21	0	0	0	1
GNA11	ENSG00000088256.9	10484.97082	0.2802435409	0.06530580261	4.291250236	1.78E-05	0.0005066040884	7	0	0	0	20	0	0	0	5	0	0	0	0
GNA15	ENSG00000060558.4	8463.160002	-0.3223677652	0.06808431727	-4.734831429	2.19E-06	7.50E-05	3	0	0	0	10	0	0	0	8	0	0	0	0
GNB1L	ENSG00000185838.14	2309.013817	-1.008073336	0.1130692929	-8.915535866	4.85E-19	7.01E-17	6	1	0	1	20	0	0	0	16	1	1	0	0
GNL1	ENSG00000204590.13	6236.092194	-0.1964407006	0.0623281955	-3.15171487	0.001623146891	0.02459930256	5	0	0	0	20	0	0	0	6	0	0	0	0
GPAA1	ENSG00000197858.12	6069.214424	0.1799916977	0.06138692491	2.93208526	0.003366942984	0.0438268563	72	1	0	1	93	0	0	0	87	1	0	1	0
GPAT4-AS1	ENSG00000253133.2	24.68736033	-1.985599454	0.5686739974	-3.491630465	0.0004800819422	0.009035787322	1	0	0	0	3	0	0	0	0	0	0	0	3
